Este(m);Norte(m);Cota(m);Al(%);Fe(%);Campana
7400.22;1496.58;1457.62;1.14;46.48;CHIST
7400.22;1496.58;1450.37;0.71;40.58;CHIST
7400.22;1496.58;1427.72;0.91;40.49;CHIST
7400.22;1496.58;1421.62;0.91;40.49;CHIST
7400.22;1496.58;1415.52;0.85;43.97;CHIST
7400.22;1496.58;1407.12;0.85;43.97;CHIST
7400.22;1496.58;1400.92;0.76;31.58;CHIST
7401;1814.63;1471.68;2.05;64.19;CHIST
7401;1816.88;1467.79;2.48;65.11;CHIST
7401;1820.13;1462.16;5.48;57.03;CHIST
7401;1825.13;1453.5;1.89;59.05;CHIST
7401;1829.64;1445.68;2.18;60.47;CHIST
7401;1833.15;1439.6;1.93;62.11;CHIST
7401;1836.15;1434.4;2.83;61.65;CHIST
7401;1839.15;1429.2;2.37;62.26;CHIST
7401;1842.15;1424.01;2.97;60.39;CHIST
7401;1846.15;1417.08;1.21;60.17;CHIST
7401;1849.15;1411.88;1.34;58.38;CHIST
7401;1851.15;1408.42;1.31;63.51;CHIST
7401;1854.15;1403.22;1.51;65.2;CHIST
7401;1860.46;1392.29;0.97;56.62;CHIST
7400;1700.35;1474.07;5.15;58.81;CHIST
7400;1697.1;1468.44;4.15;59.58;CHIST
7400;1694.8;1464.46;10.99;50.99;CHIST
7400;1691.14;1458.11;0.59;67.49;CHIST
7400;1688.03;1452.72;0.45;68.47;CHIST
7400;1685.82;1448.91;2.65;64.63;CHIST
7400;1683.13;1444.24;5.85;60.76;CHIST
7400;1679.13;1437.31;2.14;66.19;CHIST
7400;1674.13;1428.65;1.82;66.39;CHIST
7400;1670.63;1422.58;2;65.53;CHIST
7400;1668.13;1418.25;3.21;62.03;CHIST
7400;1665.88;1414.36;3.17;60.57;CHIST
7400;1662.63;1408.73;1.36;51.41;CHIST
7400;1657.63;1400.07;0.86;44.23;CHIST
7400;1653.99;1393.77;0.58;43.97;CHIST
7500;1692.5;1467.36;0.15;69.31;CHIST
7500;1696.6;1460.26;0.59;69.7;CHIST
7500;1704.15;1447.18;0.18;63.32;CHIST
7500;1707.32;1441.68;0.46;62.55;CHIST
7500;1709.46;1437.98;0.22;57.66;CHIST
7500;1712.09;1433.43;0.58;69.06;CHIST
7500;1715.75;1427.09;0.48;38.77;CHIST
7500;1718.88;1421.68;0.74;39.11;CHIST
7500;1722;1416.26;1.59;44.92;CHIST
7500;1726.5;1408.47;0.78;40.77;CHIST
7500;1731;1400.68;1.08;39.34;CHIST
7500;1734;1395.48;1.41;37.96;CHIST
7500;1737;1390.28;0.99;43.6;CHIST
7500;1741.5;1382.49;1.22;48.29;CHIST
7500;1746;1374.7;4.5;57.86;CHIST
7500;1749;1369.5;6.04;56.82;CHIST
7500;1751;1366.03;0.95;60.96;CHIST
7500;1754.14;1360.6;1.75;63.18;CHIST
7500;1757.91;1354.06;0.44;43.02;CHIST
7500;1542.35;1496.39;0.49;59.62;CHIST
7500;1545.11;1491.61;0.27;58.17;CHIST
7500;1547.88;1486.82;0.24;49.45;CHIST
7500;1550.56;1482.17;0.31;50.68;CHIST
7500;1553.25;1477.51;2.51;57.49;CHIST
7500;1556.07;1472.62;1.52;59.86;CHIST
7500;1561.9;1462.53;0.13;51.4;CHIST
7500;1566.9;1453.87;0.77;52.15;CHIST
7500;1571.9;1445.21;0.63;51.71;CHIST
7500;1576.9;1436.55;0.5;52.99;CHIST
7500;1581.9;1427.89;0.37;51.74;CHIST
7500;1586.9;1419.23;0.76;53.17;CHIST
7500;1591.15;1411.87;0.45;53.87;CHIST
7500;1595.4;1404.51;0.2;48.38;CHIST
7500;1598.4;1399.31;0.28;46.3;CHIST
7500;1601.4;1394.11;0.28;40.57;CHIST
7500;1605.11;1387.68;0.33;40.44;CHIST
7500;1608.82;1381.25;0.35;43.92;CHIST
7500;1613.82;1372.59;0.53;41.67;CHIST
7500;1618.82;1363.93;0.22;43.94;CHIST
7500;1622.86;1356.94;0.1;45.89;CHIST
7500;1348.09;1437.89;0.88;65.31;CNEW
7500;1346.21;1432.72;0.6;67.5;CNEW
7500;1343.7;1425.81;1.02;67.21;CNEW
7500;1341.62;1420.11;1.52;66.9;CNEW
7500;1340.23;1416.3;6.74;48.64;CNEW
7500;1337.64;1409.16;2.01;66.62;CNEW
7500;1334.34;1400.11;3.29;64.25;CNEW
7500;1332.45;1394.92;4.07;62.81;CNEW
7500;1331.5;1392.29;1.2;64.58;CNEW
7500;1329.53;1386.89;0.57;55.05;CNEW
7500;1326.63;1378.92;1.36;48.13;CNEW
7500;1324.04;1371.81;0.69;47.04;CNEW
7500;1321.63;1365.19;1.85;64.25;CNEW
7500;1318.56;1356.75;2.68;62.12;CNEW
7500;1315.46;1348.24;1.21;65.14;CNEW
7500;1312.37;1339.74;1.27;52.95;CNEW
7500;1309.32;1331.36;0.75;40.65;CNEW
7500;1306.1;1322.51;0.95;43.93;CNEW
